application_number;application_date;registration_date;application_language_code;second_language_code;expiry_date;name
0;018004929;2019-01-01;2019-05-22;it;en;2029-01-01;fakiku
1;018004930;2019-01-01;2019-12-04;en;it;2029-01-01;UNISON
2;018004934;2019-01-01;2019-04-29;en;de;2029-01-01;Minds & Sparks
3;018004941;2019-01-02;2019-04-25;en;de;2029-01-02;GCSOAR
4;018004944;2019-01-02;2019-04-25;en;de;2029-01-02;HuaJia
5;018004949;2019-01-02;2019-06-05;es;en;2029-01-02;A CANTEIRA
6;018004954;2019-01-02;2019-04-20;en;fr;2029-01-02;BREAK THE ICE
7;018004955;2019-01-02;2019-04-25;en;de;2029-01-02;WYSIWYT Keyboard
8;018004956;2019-01-02;2019-05-22;en;de;2029-01-02;WCA
9;018004957;2019-01-02;2019-04-20;en;it;2029-01-02;Walton: Awaken
10;018004959;2019-01-02;2019-05-18;en;fr;2029-01-02;CHEEKY MAGAZINE
11;018004960;2019-01-02;2019-05-16;en;it;2029-01-02;JUDGMENT
12;018004961;2019-01-02;2019-04-20;en;it;2029-01-02;Walton
13;018004964;2019-01-02;2019-05-28;en;es;2029-01-02;PRECO
14;018004973;2019-01-02;2019-05-17;en;es;2029-01-02;EBILUN
15;018004975;2019-01-02;2019-04-25;fr;en;2029-01-02;TYVA ENERGIE
16;018004979;2019-01-02;2019-08-03;en;de;2029-01-02;Made by Berit
17;018004983;2019-01-02;2019-04-23;en;de;2029-01-02;galapatours
18;018005189;2019-01-01;2019-05-01;fr;en;2029-01-01;EMPTY PACK SURVEY
19;018005190;2019-01-02;2019-04-24;en;fr;2029-01-02;LEANTEEN
20;018005191;2019-01-02;2019-04-24;en;de;2029-01-02;BDlouho
21;018005192;2019-01-02;2019-04-24;en;fr;2029-01-02;cardada
22;018005193;2019-01-02;2019-04-26;en;fr;2029-01-02;asafee
23;018005194;2019-01-02;2019-04-25;en;fr;2029-01-02;memede
24;018005196;2019-01-02;2019-04-25;en;it;2029-01-02;GUUSII HOME
25;018005197;2019-01-02;2019-04-24;en;it;2029-01-02;Fire Fly
26;018005198;2019-01-02;2019-04-25;en;it;2029-01-02;Diniwell
27;018005203;2019-01-02;2019-04-25;en;it;2029-01-02;YZGWZLD
28;018005204;2019-01-02;2019-05-18;en;fr;2029-01-02;Bawanfa
29;018005205;2019-01-02;2019-05-23;es;en;2029-01-02;LET’S SOLVE FOR DIGITAL TOGETHER
30;018005206;2019-01-02;2019-07-04;da;en;2029-01-02;NATURES PLUS
31;018005207;2019-01-02;2019-05-23;it;en;2029-01-02;MICROTTO
32;018005208;2019-01-02;2019-05-23;it;en;2029-01-02;CASA DELLA PIADA CRM
33;018005209;2019-01-02;2019-05-23;fi;en;2029-01-02;KUPILKA
34;018005212;2019-01-02;2019-06-28;en;es;2029-01-02;GIANTARM
35;018005213;2019-01-02;2019-05-07;en;es;2029-01-02;XZN
36;018005214;2019-01-02;2019-06-14;pl;en;2029-01-02;IntraworQ
37;018005215;2019-01-02;2019-06-14;pl;en;2029-01-02;WTMS-ONE
38;018005217;2019-01-02;2019-05-11;fi;en;2029-01-02;MIF ACADEMY
39;018005218;2019-01-02;2019-06-14;pl;en;2029-01-02;IWQ
40;018005221;2019-01-02;2019-07-18;lv;en;2029-01-02;JR HOGG
41;018005222;2019-01-02;2019-04-23;en;it;2029-01-02;rewor.king
42;018005226;2019-01-02;2019-06-15;de;en;2029-01-02;PopIceStore
43;018005227;2019-01-02;2019-05-10;it;en;2029-01-02;ENDUR
44;018005231;2019-01-02;2019-05-24;en;fr;2029-01-02;gamban
45;018005233;2019-01-02;2019-05-14;da;en;2029-01-02;MCP
46;018005234;2019-01-02;2019-06-25;fr;en;2029-01-02;GEEKOPOLIS
47;018005235;2019-01-02;2019-07-23;en;fr;2029-01-02;CANNAVORE
48;018005237;2019-01-02;2019-04-30;en;es;2029-01-02;VEEV COOL PEPPERMINT
49;018005238;2019-01-02;2019-04-30;en;es;2029-01-02;SEASIDE COVE
50;018005239;2019-01-02;2019-04-30;en;es;2029-01-02;SUNSET ESCAPE
51;018005240;2019-01-02;2019-04-30;en;es;2029-01-02;VEEV PASSION FRUIT ZEST
52;018005241;2019-01-02;2019-04-24;en;fr;2029-01-02;PROSYS COMFORT
53;018005393;2019-01-01;2019-04-24;it;en;2029-01-01;LOEBIKS
54;018005395;2019-01-01;2019-05-03;en;fr;2029-01-01;Aarafh
55;018005396;2019-01-01;2019-05-02;de;en;2029-01-01;FLURYSAR
56;018005397;2019-01-01;2019-04-26;it;en;2029-01-01;ADEMFLY
57;018005398;2019-01-01;2019-05-01;de;en;2029-01-01;TeneGuide
58;018005399;2019-01-02;2019-05-15;en;fr;2029-01-02;Tailco
59;018005400;2019-01-02;2019-04-25;en;de;2029-01-02;Hlearit
60;018005402;2019-01-02;2019-04-24;en;de;2029-01-02;GHYUGR
61;018005403;2019-01-02;2019-05-08;en;fr;2029-01-02;Numro
62;018005408;2019-01-02;2019-07-20;de;en;2029-01-02;UPWIND
63;018005412;2019-01-02;2019-05-23;de;en;2029-01-02;G&S SatConnect
64;018005414;2019-01-02;2019-04-24;en;fr;2029-01-02;the pure shop
65;018005415;2019-01-02;2019-04-30;it;en;2029-01-02;BRYVIA
66;018005416;2019-01-02;2019-05-22;de;en;2029-01-02;cquenz
67;018005417;2019-01-02;2019-04-29;de;en;2029-01-02;SISTERLOVE
68;018005421;2019-01-02;2019-05-08;en;de;2029-01-02;SB
69;018005422;2019-01-02;2020-01-06;en;fr;2029-01-02;LIQID COMMAND CENTER
70;018005426;2019-01-02;2019-05-15;pl;en;2029-01-02;SŁODZIAK
71;018005428;2019-01-02;2019-05-23;de;en;2029-01-02;SEVEN SEALS
72;018005429;2019-01-02;2019-05-22;de;en;2029-01-02;Deli Department
73;018005433;2019-01-02;2019-04-29;en;de;2029-01-02;Cagos
74;018005438;2019-01-02;2019-08-30;en;es;2029-01-02;LENT
75;018005439;2019-01-02;2019-04-25;en;de;2029-01-02;Hacevida
76;018005440;2019-01-02;2019-05-01;en;fr;2029-01-02;HYDRARENT
77;018005442;2019-01-02;2019-04-18;es;en;2029-01-02;SBPOOL
78;018005443;2019-01-02;2019-04-26;en;de;2029-01-02;Masmejor
79;018005444;2019-01-02;2019-05-10;it;en;2029-01-02;TRICOVEL PRP PLUS
80;018005445;2019-01-02;2019-05-22;en;fr;2029-01-02;GOLDBAUM
81;018005447;2019-01-02;2019-05-02;da;en;2029-01-02;Rubbish
82;018005452;2019-01-02;2019-06-26;en;it;2029-01-02;CLUB CERTAS ENERGY
83;018005453;2019-01-02;2019-05-11;en;fr;2029-01-02;LOVATTI
84;018005454;2019-01-02;2019-04-25;en;es;2029-01-02;SassLass
85;018005457;2019-01-02;2019-06-13;en;fr;2029-01-02;MCWlaser
86;018005458;2019-01-02;2019-05-18;en;fr;2029-01-02;VAGEEK
87;018005459;2019-01-02;2019-05-18;en;fr;2029-01-02;TigeJoy
88;018005461;2019-01-02;2019-04-25;de;en;2029-01-02;ESPADEVIDA
89;018005462;2019-01-03;2019-05-01;sv;en;2029-01-03;ORTHOSHELL
90;018005466;2019-01-03;2019-05-11;en;fr;2029-01-03;MOVEWRIGHT
91;018005472;2019-01-03;2019-05-15;hu;en;2029-01-03;CryptoMax
